,Artist,Name,Album,Release Date,Popularity,Duration (s),Explicit,Danceability,Energy,Key,Mode,Valence,Tempo,Loudness,Liveness,Instrumentalness,Acousticness,Virality
108,Taylor Swift,Mastermind,Midnights (The Til Dawn Edition),2023-05-26,72.0,191.039,0,0.66,0.343,4,1,0.137,125.96,-14.132,0.0922,0.00134,0.565,0
109,Taylor Swift,The Great War,Midnights (The Til Dawn Edition),2023-05-26,69.0,240.355,0,0.57,0.747,5,1,0.574,96.016,-8.93,0.0854,2.32e-05,0.199,0
110,Taylor Swift,Bigger Than The Whole Sky,Midnights (The Til Dawn Edition),2023-05-26,67.0,218.502,0,0.42,0.22,6,1,0.0705,165.564,-12.584,0.114,0.00131,0.841,0
111,Taylor Swift,Paris,Midnights (The Til Dawn Edition),2023-05-26,66.0,196.258,0,0.703,0.518,7,1,0.347,110.94,-10.501,0.148,2.89e-05,0.103,0
112,Taylor Swift,High Infidelity,Midnights (The Til Dawn Edition),2023-05-26,65.0,231.475,0,0.571,0.547,10,1,0.768,175.933,-10.141,0.0877,0.0,0.704,0
113,Taylor Swift,Glitch,Midnights (The Til Dawn Edition),2023-05-26,63.0,148.781,0,0.677,0.47,11,0,0.347,140.881,-9.65,0.11,0.0,0.314,0
114,Taylor Swift,"Would've, Could've, Should've",Midnights (The Til Dawn Edition),2023-05-26,4.0,260.361,0,0.485,0.846,0,1,0.548,157.918,-6.557,0.124,0.00115,0.393,0
115,Taylor Swift,Dear Reader,Midnights (The Til Dawn Edition),2023-05-26,64.0,225.194,0,0.674,0.39,0,1,0.151,107.891,-11.944,0.116,0.00122,0.464,0
116,Taylor Swift,Lavender Haze,Midnights (3am Edition),2022-10-22,78.0,202.395,1,0.735,0.449,7,0,0.0955,97.05,-10.56,0.132,0.00126,0.23,0
117,Taylor Swift,Maroon,Midnights (3am Edition),2022-10-22,73.0,218.27,1,0.655,0.384,7,1,0.0384,108.058,-8.29,0.0973,1.45e-06,0.0634,0
118,Taylor Swift,Anti-Hero,Midnights (3am Edition),2022-10-22,86.0,200.69,0,0.633,0.648,4,1,0.49,96.888,-6.645,0.161,2.62e-06,0.121,1
119,Taylor Swift,Snow On The Beach (feat. Lana Del Rey),Midnights (3am Edition),2022-10-22,74.0,256.124,1,0.663,0.321,9,1,0.153,110.021,-13.527,0.107,0.000598,0.701,0
120,Taylor Swift,"You're On Your Own, Kid",Midnights (3am Edition),2022-10-22,13.0,194.206,0,0.696,0.39,2,1,0.395,120.032,-10.331,0.125,1.55e-05,0.447,0
121,Taylor Swift,Midnight Rain,Midnights (3am Edition),2022-10-22,78.0,174.782,0,0.604,0.375,0,1,0.203,137.651,-11.637,0.116,5.87e-05,0.71,0
