,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,release_date,explicit
1220,0.531,0.212,4,-9.678,1,0.03,0.969,1.97e-06,0.0937,0.32,96.997,182000,3,0,2014-07-30,False
1221,0.531,0.212,4,-9.678,1,0.03,0.969,1.97e-06,0.0937,0.32,96.997,182000,3,0,2014-07-30,False
1222,0.531,0.212,4,-9.678,1,0.03,0.969,1.97e-06,0.0937,0.32,96.997,182000,3,0,2014-07-30,False
1223,0.444,0.309,4,-11.883,1,0.0313,0.509,1.87e-06,0.337,0.234,139.846,398933,4,0,2014-10-14,False
1224,0.444,0.309,4,-11.883,1,0.0313,0.509,1.87e-06,0.337,0.234,139.846,398933,4,0,2014-10-14,False
1225,0.444,0.309,4,-11.883,1,0.0313,0.509,1.87e-06,0.337,0.234,139.846,398933,4,0,2014-10-14,False
1226,0.444,0.309,4,-11.883,1,0.0313,0.509,1.87e-06,0.337,0.234,139.846,398933,4,0,2014-10-14,False
1227,0.613,0.986,10,-1.064,0,0.0935,0.22,0.0,0.327,0.623,131.999,218233,4,0,2022-07-17,False
1228,0.613,0.986,10,-1.064,0,0.0935,0.22,0.0,0.327,0.623,131.999,218233,4,0,2022-07-17,False
1229,0.613,0.986,10,-1.064,0,0.0935,0.22,0.0,0.327,0.623,131.999,218233,4,0,2022-07-17,False
1230,0.613,0.986,10,-1.064,0,0.0935,0.22,0.0,0.327,0.623,131.999,218233,4,0,2022-07-17,False
1231,0.318,0.301,2,-13.024,1,0.0318,0.115,1.29e-06,0.113,0.133,148.19,240980,4,0,1990-09-01,False
1232,0.318,0.301,2,-13.024,1,0.0318,0.115,1.29e-06,0.113,0.133,148.19,240980,4,0,1990-09-01,False
1233,0.318,0.301,2,-13.024,1,0.0318,0.115,1.29e-06,0.113,0.133,148.19,240980,4,0,1990-09-01,False
1234,0.318,0.301,2,-13.024,1,0.0318,0.115,1.29e-06,0.113,0.133,148.19,240980,4,0,1990-09-01,False
1235,0.599,0.695,8,-11.986,1,0.0434,0.434,0.0,0.239,0.856,103.217,402469,4,0,1988,False
1236,0.599,0.695,8,-11.986,1,0.0434,0.434,0.0,0.239,0.856,103.217,402469,4,0,1988,False
1237,0.599,0.695,8,-11.986,1,0.0434,0.434,0.0,0.239,0.856,103.217,402469,4,0,1988,False
1238,0.599,0.695,8,-11.986,1,0.0434,0.434,0.0,0.239,0.856,103.217,402469,4,0,1988,False
1239,0.45,0.485,0,-9.282,1,0.035,0.779,2.73e-06,0.104,0.238,130.047,283507,4,0,2001-04-01,False
1240,0.45,0.485,0,-9.282,1,0.035,0.779,2.73e-06,0.104,0.238,130.047,283507,4,0,2001-04-01,False
1241,0.45,0.485,0,-9.282,1,0.035,0.779,2.73e-06,0.104,0.238,130.047,283507,4,0,2001-04-01,False
1242,0.45,0.485,0,-9.282,1,0.035,0.779,2.73e-06,0.104,0.238,130.047,283507,4,0,2001-04-01,False
1243,0.579,0.53,9,-9.529,0,0.03,0.366,6.78e-05,0.0644,0.879,160.863,239600,4,0,2011-05-13,False
1244,0.579,0.53,9,-9.529,0,0.03,0.366,6.78e-05,0.0644,0.879,160.863,239600,4,0,2011-05-13,False
1245,0.579,0.53,9,-9.529,0,0.03,0.366,6.78e-05,0.0644,0.879,160.863,239600,4,0,2011-05-13,False
1246,0.579,0.53,9,-9.529,0,0.03,0.366,6.78e-05,0.0644,0.879,160.863,239600,4,0,2011-05-13,False
1247,0.182,0.526,2,-7.499,1,0.0288,0.245,0.00118,0.223,0.371,61.62,203187,4,1,2004,False
1248,0.471,0.516,9,-9.975,1,0.0427,0.189,0.502,0.0728,0.826,144.647,130747,4,0,2020-07-31,False
1249,0.364,0.846,5,-8.723,1,0.0554,0.0224,0.0711,0.367,0.658,128.878,305293,4,1,1976,False
1250,0.859,0.812,11,-6.212,1,0.0597,0.0195,0.000792,0.0962,0.788,129.365,254693,4,0,2009-01-01,False
1251,0.462,0.891,9,-3.015,0,0.046,0.266,0.0,0.361,0.475,137.779,155680,4,10,2015-05-19,False
1252,0.704,0.244,9,-12.226,0,0.0299,0.92,0.00282,0.134,0.349,102.026,220630,3,1,2003-06-30,False
1253,0.827,0.572,5,-8.011,0,0.0543,0.00109,0.412,0.0688,0.77,126.004,424882,4,38,2019-11-04,False
1254,0.849,0.904,9,-4.532,0,0.101,0.088,0.00331,0.0224,0.856,128.084,206341,4,35,2013-07-01,False
1255,0.629,0.593,7,-8.965,1,0.0553,0.571,0.000116,0.185,0.496,133.74,188991,4,31,2021-08-06,False
1256,0.659,0.366,5,-10.366,1,0.0379,0.588,0.0,0.215,0.365,133.913,230975,4,54,2007-01-01,False
1257,0.951,0.878,2,-2.565,1,0.211,0.0509,1.61e-05,0.321,0.923,133.014,170977,4,69,2022-08-26,True
1258,0.218,0.557,3,-5.334,1,0.0393,0.683,0.0,0.159,0.206,50.011,244173,4,35,2022-10-15,False
1259,0.528,0.488,11,-8.902,0,0.0419,0.766,8.11e-06,0.255,0.368,117.939,357920,3,0,2012,False
1260,0.504,0.357,4,-17.503,1,0.0304,0.587,0.000112,0.269,0.848,82.962,149537,4,0,2011,False
1261,0.744,0.784,1,-10.141,1,0.0466,0.298,0.0,0.0809,0.663,122.887,229933,4,5,2003-01-01,False
1262,0.34,0.308,0,-10.841,1,0.032,0.702,0.000919,0.469,0.22,112.121,200249,4,0,1998-01-01,False
1263,0.694,0.587,6,-7.723,0,0.0816,0.52,0.000312,0.134,0.537,139.918,220911,4,0,2022-10-21,False
1264,0.47,0.947,1,-1.04,1,0.286,0.0847,0.0,0.152,0.236,140.13,178440,4,6,2016-12-24,False
1265,0.504,0.943,0,-4.493,1,0.0909,0.368,0.0,0.956,0.598,80.896,248320,4,8,2017-03-17,False
1266,0.635,0.499,2,-7.955,0,0.0312,0.791,0.0,0.2,0.314,105.898,207020,4,41,2022-12-29,False
1267,0.621,0.398,1,-8.461,1,0.0281,0.821,4.54e-06,0.103,0.375,105.979,283899,4,21,2021-02-19,False
1268,0.544,0.484,2,-13.367,1,0.0456,0.355,0.879,0.153,0.3,144.28,104613,4,6,2016-06-16,False
1269,0.699,0.648,11,-8.54,1,0.219,0.0909,0.0,0.111,0.167,149.905,217867,4,25,2023-02-03,True
1270,0.413,0.642,11,-10.861,0,0.0263,0.56,0.79,0.104,0.732,133.969,132706,4,0,2020-01-10,False
1271,0.546,0.44,11,-12.832,0,0.0333,0.458,2.41e-05,0.12,0.39,139.807,242509,4,1,2013-03-27,False
1272,0.831,0.605,1,-6.698,1,0.23,0.602,0.0,0.0976,0.721,110.15,266573,4,31,2016-02-26,False
1273,0.534,0.615,3,-8.369,0,0.265,0.716,0.0,0.657,0.901,74.475,314097,4,0,2022-11-13,False
1274,0.505,0.97,3,-3.544,1,0.155,0.035,0.0,0.501,0.413,119.965,272893,4,1,2014-03-12,False
1275,0.445,0.287,7,-14.943,1,0.0326,0.0693,5.76e-05,0.388,0.0425,146.095,243667,4,0,1992-01-01,False
1276,0.478,0.412,10,-10.253,1,0.035,0.705,2.67e-05,0.491,0.584,131.269,504021,4,6,1976-01-01,False
1277,0.821,0.652,8,-6.829,1,0.0548,0.217,0.000379,0.112,0.794,117.991,209492,4,5,2019-11-09,False
1278,0.568,0.939,1,-4.436,1,0.0454,0.0273,1.85e-06,0.296,0.938,188.956,234921,3,3,2022-01-20,False
1279,0.8,0.44,2,-10.715,1,0.0433,0.636,0.0,0.0598,0.667,123.891,174471,4,27,2019-08-16,False
1280,0.79,0.785,9,-6.686,0,0.172,0.202,1.25e-05,0.117,0.684,123.985,237192,4,11,2022-04-13,False
1281,0.52,0.857,6,-6.352,0,0.0495,0.0046,0.00018,0.983,0.674,126.687,229493,4,17,2009-01-01,False
1282,0.783,0.527,2,-11.047,1,0.0441,0.857,0.0,0.125,0.936,127.337,144787,4,3,2005,False
